Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,MD5 Hash,Weird/Bad/Missing Data
Snoopy - Magic Show (Japan).gb,SNOOPY,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Kemco,True,None,False,0,Japan,3d8f6eccc13f3344c8d971b7e141f064,False
Roadsters '98 (USA) (Proto) (SGB Enhanced) (GB Compatible).gbc,ROADSTERS 98,MBC1+RAM+Battery,MBC1,8,0,0x0,0x20000,True,False,False,False,Titus,False,Extra CGB Functions,True,0,Non-Japan (0x1),df12fd885c09702ef5f02bfd2a5e1ec3,False
Onigashima Pachinkoten (Japan).gb,ONI-PACHINKOTEN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Coconuts,True,None,False,0,Japan,4150508f6882f691dc6dd3f28bc4d48f,False
Daiku no Gen-san - Ghost Building Company (Japan).gb,GENSAN,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,IREM,True,None,False,0,Japan,d20d4b7e9f7299ac1f59c3130abb6e02,False
3-pun Yosou - Umaban Club (Japan).gb,UMABAN CLUB,MBC2+Battery,MBC2,4,1,0x100,0x10000,True,False,False,False,Hector,True,None,False,0,Japan,d4ebf9cf10dda19dd2bafd1c1673d762,False
M&M's Minis Madness (Europe).gbc,MINIMADNESSBMIP,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'6V',6V)",False,CGB Only,False,0,Non-Japan (0x1),0bfac235a5bd9cd57d7b3e7e83993458,True
WWF WrestleMania 2000 (USA).gbc,WWF WM 2000AUWE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,Extra CGB Functions,False,0,Non-Japan (0x1),7fa5a6dde384652120b46475b193dff9,False
Tip Off (Europe).gb,TIP OFF,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Imagineer,True,None,False,0,Non-Japan (0x1),a617ca41254cc6df7b82fa18e411010d,False
Shin Keiba Kizoku Pocket Jockey (Japan) (SGB Enhanced).gb,POCKET JOCKEY,MBC3+RAM+Battery,MBC3,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'EA',EA)",False,None,True,0,Japan,254554a4412d0fba81c2ece8e094d30f,True
Nobunaga no Yabou - Game Boy Ban (Japan).gb,NOBUNAGA,MBC1+RAM+Battery,MBC1,8,1,0x800,0x20000,True,False,False,False,Koei,True,None,False,0,Japan,e821ec4fe25c679efeb9676a129c2130,False
Game Boy Camera Gold (USA) (SGB Enhanced).gb,GAMEBOYCAMERA G,Game Boy Camera,Game Boy Camera,64,16,0x10000,0x100000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),b2999cfb6dacb439f501a71f30f91762,False
Sa-Ga 2 - Hihou Densetsu (Japan) (Rev A).gb,SAGA2,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Squaresoft,True,None,False,1,Japan,1f66f1de0dc183d58e47cafdc414ec2b,False
Marvin Strikes Back! (USA).gbc,MARVINSTRKBBLAE,MBC5+RAM+Battery,MBC5,128,1,0x800,0x200000,True,False,False,False,Infogrames,False,CGB Only,False,0,Non-Japan (0x1),fdf704aff61ad3e6848642241ddb6032,False
Sumou Fighter - Toukaidou Basho (Japan).gb,SUMOU FIGHTER,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,I'MAX,True,None,False,0,Japan,173896fb9f93fb39ed87a58981e82e36,False
"WWF War Zone (USA, Europe).gb",WWF: WARZONE,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Acclaim,False,None,False,0,Non-Japan (0x1),4f99d49908e027125473445ea1937817,False
"Little Mermaid II, The - Pinball Frenzy (Japan) (Proto).gbc",PNBALFRENZYBY2J,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Nintendo R&D1,False,CGB Only,False,0,Japan,1d719dffbdeff72d4b8f8744ddcbf9d5,False
Yars' Revenge (USA).gbc,YARSREVENGEAYVE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5M',5M)",False,Extra CGB Functions,False,0,Non-Japan (0x1),1405c2c436255d0d5c901bf6d64f68a1,True
Dance Dance Revolution GB 2 (Japan).gbc,DDR GB2BD2J,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Konami,False,CGB Only,False,0,Japan,7f306f573ca9759fa2f7aa167ca2dd74,False
Retroid.gb,RETROID,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,None,True,None,False,1,Japan,eb2c8695b903c45611c9faa43ca1b2ab,False
Return of the Ninja (Europe).gbc,NINJA--CGB-BNJP,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Victor Interactive Software,False,CGB Only,False,0,Non-Japan (0x1),9c1cb86cccb4fa2bbc6137a81d92a3b1,False
"Legend of Zelda, The - Link's Awakening DX (France) (Rev 1) (SGB Enhanced) (GB Compatible).gbc",ZELDAAZLF,MBC5+RAM+Battery,MBC5,64,4,0x4000,0x100000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,True,1,Non-Japan (0x1),68242187b65166b5f8225b20e2021659,False
Ready 2 Rumble Boxing (USA) (Rumble Version).gbc,R2R BOXINGVRRE,MBC5+Rumble,MBC5,128,0,0x0,0x200000,False,False,True,False,"UNKNOWN(b'5D',5D)",False,CGB Only,False,0,Non-Japan (0x1),d5961426b8ea089e2f74a91a747acfdb,True
Desert Strike - Return to the Gulf (USA) (SGB Enhanced).gb,DESERT STRIKE,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Nintendo,False,None,True,0,Non-Japan (0x1),a926508282da0b7889ab4f0947916068,False
Rubble Saver II (Japan).gb,RUBBLE SAVER 2,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,King Records,True,None,False,0,Japan,019db3e93fa9583a04366a4e4597c618,False
Medarot - Kabuto Version (Japan) (Rev A) (SGB Enhanced).gb,MEDAROT KABUTO,MBC1+RAM+Battery,MBC1,32,4,0x4000,0x80000,True,False,False,False,"UNKNOWN(b'9C',9C)",False,None,True,1,Japan,78c568cbfff6314b1416880d9efaeca6,True
Super Black Bass Pocket (Japan) (SGB Enhanced).gb,SUPER BLACK BASS,MBC1+RAM+Battery,MBC1,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'0H',0H)",False,None,True,0,Japan,596b9a0ca8ed82011a83aca42119c6bf,True
"Sabrina - The Animated Series - Spooked! (USA, Europe).gbc",SPOOKEDB4PE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'7L',7L)",False,CGB Only,False,0,Non-Japan (0x1),3073432455a395835de6147399b36cfc,True
Super Momotarou Dentetsu (Japan).gb,MOMOTETU,MBC2+Battery,MBC2,16,1,0x100,0x40000,True,False,False,False,Hudsonsoft,True,None,False,0,Japan,dbe1e995af2f9c28a06fe5845f04da7b,False
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced).gb,DRACULA3,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Konami,False,None,True,0,Japan,6761f77e6daa82120dd7c73adeec777e,False
Bad Badtz-Maru Robo Battle (Japan).gbc,XO R-BATTLEBBRJ,MBC5+RAM+Battery,MBC5,128,1,0x800,0x200000,True,False,False,False,"UNKNOWN(b'9C',9C)",False,CGB Only,False,0,Japan,21c2dd91ae2d46c006c00caca96d2b6b,True
"Adventure Island (USA, Europe).gb",ADVENTURE ISLAND,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Hudsonsoft,True,None,False,0,Non-Japan (0x1),d67e58bf5f39d5fb073fed85c3d9bede,False
